weapon_category,dual_use,rationale
weapons general,0,Purely military concept; not in dual-use list
nuclear weapon,0,Weapon system; nuclear MATERIALS are dual-use but the weapon itself is not
radioactive waste,0,Not a controlled category in the dual-use list
fissile material,1,0C002 (Special fissile materials) — explicitly listed in Category 0 of the dual-use list
nuclear material,1,Category 0 covers natural uranium / depleted uranium / special nuclear materials with civilian nuclear energy uses
objects carrying nuclear weapon,0,Delivery vehicle for nuclear weapons; purely military
weapons of mass destruction,0,Military umbrella term; not a dual-use category
summary category a (nuclear weapons),0,Nuclear weapons classification; not dual-use
other weapons of mass destruction,0,Military classification; not dual-use
ship,0,General ships not in dual-use list; specialized marine systems are but not this category
submarine,0,Military submarines are on military goods list; civilian research submersibles are separate
aircraft,0,Combat aircraft are on military goods list; dual-use list covers specific aerospace technology not this category
microbial/other biological agent,1,1C351 — biological agents (pathogens) controlled as dual-use due to research/medical applications
toxin,1,1C351.d and 1C350 — toxins controlled as dual-use; many have legitimate medical/research uses
weapons and equipment and means of delivery for agreement-restricted toxins and agent,0,Weapons delivery category; the weapons/delivery aspect is military not dual-use
cluster munition,0,Prohibited weapon; no civilian use; not in dual-use list
icbm,0,Strategic nuclear delivery system; purely military
slbm,0,Strategic nuclear delivery system; purely military
strategic nuclear warhead,0,Nuclear weapon component; purely military
anti-personnel mine,0,Prohibited weapon (Ottawa Treaty); purely military
intermediate-range missile,0,Military missile system (INF Treaty); purely military
intermediate-range missile launcher,0,Military launcher; purely military
irm support structure,0,Military support infrastructure; purely military
irm support equipment,0,Military support equipment; purely military
shorter-range missile,0,Military missile system (INF Treaty); purely military
shorter-range missile launcher,0,Military launcher; purely military
srm support equipment,0,Military support equipment; purely military
nuclear explosive device,0,Nuclear weapon component; purely military
nuclear explosive devise,0,Nuclear weapon component (variant spelling); purely military
icbm launcher,0,Military launcher; purely military
launchers for light icbm,0,Military launcher; purely military
launchers for icbms of older types deployed prior to 1964,0,Military launcher; purely military
icbm test/training launcher,0,Military equipment; purely military
slbm launcher,0,Military launcher; purely military
slbm test/training launcher,0,Military equipment; purely military
ballistic missile submarine,0,Military vessel; purely military
heavy icbm,0,Strategic nuclear missile; purely military
heavy bomber,0,Military aircraft; purely military
warheads attributed to icbm,0,Nuclear warheads; purely military
warheads attributed to slbm,0,Nuclear warheads; purely military
warheads attributed to heavy bomber,0,Nuclear warheads; purely military
battle tank,0,Conventional weapon (UN Register); on military goods list not dual-use list
missiles and missile launcher,0,Military weapons systems; purely military
small arms and light weapon,0,Conventional weapons (UN Register); on military goods list not dual-use list
ammunition/munition,0,Military ammunition; not in dual-use list
parts and component,0,In context of UN Register conventional weapons; military goods
armoured combat vehicle,0,Conventional weapon (UN Register); on military goods list
large calibre artillery system,0,Conventional weapon (UN Register); on military goods list
combat aircraft,0,Conventional weapon (UN Register); on military goods list
attack helicopter,0,Conventional weapon (UN Register); on military goods list
warship,0,Military vessel; on military goods list
chemical weapon,0,Prohibited weapon (CWC); the weapon itself is not dual-use
schedule 1 chemical,0,CWC Schedule 1 — essentially no legitimate civilian use; not dual-use
schedule 2 chemical,1,CWC Schedule 2 — limited civilian use (e.g. thiodiglycol in ink); maps to 1C350 dual-use precursors
schedule 3 chemical,1,CWC Schedule 3 — significant civilian use (e.g. phosgene in plastics); maps to 1C450 dual-use toxic chemicals
weapons with the primary effect to injure by non-detectable fragment,0,CCW prohibited weapon; purely military
mine,0,Anti-personnel/naval mines; purely military weapon
booby trap,0,CCW prohibited weapon; purely military
other devise,0,CCW weapon category; purely military
mines other than remotely delivered mine,0,Prohibited weapon (CCW/Ottawa); purely military
certain booby trap,0,CCW prohibited weapon; purely military
incendiary weapon,0,CCW weapon category; purely military
air-delivered incendiary weapon,0,CCW weapon category; purely military
laser weapon,0,CCW Protocol IV (blinding lasers) — designed specifically as a weapon; distinct from dual-use industrial/scientific lasers in 6A005
explosive reminants of war,0,CCW Protocol V; refers to remnants of warfare; not a dual-use item
explosive ordnance,0,Military ordnance; purely military
anti-personel mines other than remotely delivered mine,0,Ottawa Treaty prohibition; purely military
remotely delivered mine,0,CCW restriction; purely military
capital ship,0,Washington Naval Treaty category; military vessel
merchant ship,0,Civilian vessel; not a weapons category with dual-use status in this list context
aircraft carrier,0,Military vessel; on military goods list
vessels of war other than a captial ship or arcraft carrier,0,Military vessels; on military goods list
vessels of war,0,Military vessels; on military goods list
artillery,0,Military weapon; on military goods list
heavy cruiser,0,Military vessel (Washington Naval Treaty); purely military
light cruiser,0,Military vessel (Washington Naval Treaty); purely military
destroyer,0,Military vessel; purely military
surface vessel,0,Generic vessel; as weapons category refers to military surface combatants
light surface vessel,0,Military vessel category; purely military
